time_s,shoulder,elbow,waist
143.005,104.9,164.1,61.9
143.051,94.2,166.8,67.2
143.099,96.8,164.1,83.4
143.151,88.8,150.6,72.6
143.198,94.2,153.3,45.7
143.248,83.4,147.9,56.5
143.293,86.1,145.3,75.3
143.347,94.2,150.6,64.6
143.394,88.8,169.5,61.9
143.445,83.4,150.6,75.3
143.496,72.6,145.3,37.7
143.545,75.3,131.8,40.4
143.601,86.1,153.3,72.6
143.649,80.7,147.9,56.5
143.703,91.5,123.7,48.4
143.766,104.9,126.4,59.2
143.798,110.3,145.3,64.6
143.851,107.6,161.4,67.2
143.905,115.7,147.9,80.7
143.95,147.9,156.0,118.4
144.004,91.5,94.2,99.5
144.053,83.4,134.5,56.5
144.097,78.0,139.9,48.4
144.153,51.1,131.8,35.0
144.21,35.0,153.3,18.8
144.252,45.7,188.3,53.8
144.304,37.7,174.9,96.8
144.348,26.9,126.4,48.4
144.403,29.6,139.9,18.8
144.451,35.0,134.5,26.9
144.494,21.5,142.6,35.0
144.543,24.2,145.3,40.4
144.6,37.7,139.9,40.4
144.65,78.0,126.4,43.0
144.701,102.2,129.1,48.4
144.767,104.9,115.7,64.6
144.805,96.8,126.4,75.3
144.846,69.9,115.7,78.0
144.894,51.1,67.2,48.4
144.943,32.3,51.1,61.9
144.997,16.1,59.2,94.2
145.048,0.0,48.4,48.4
145.096,0.0,26.9,37.7
145.143,0.0,35.0,40.4
145.195,0.0,40.4,61.9
145.245,53.8,64.6,45.7
145.308,18.8,45.7,24.2
145.346,0.0,72.6,21.5
145.399,37.7,123.7,67.2
145.449,53.8,131.8,48.4
145.5,99.5,118.4,69.9
145.544,147.9,107.6,91.5
145.593,191.0,123.7,99.5
145.655,215.2,115.7,118.4
145.697,234.0,110.3,118.4
145.745,271.7,110.3,126.4
145.802,312.0,107.6,123.7
145.845,341.6,96.8,121.1
145.895,341.6,83.4,121.1
145.944,400.8,59.2,121.1
145.997,462.7,48.4,121.1
146.084,481.5,75.3,121.1
146.138,503.0,72.6,129.1
146.181,618.7,56.5,139.9
146.227,672.5,64.6,145.3
146.265,691.3,61.9,147.9
146.305,683.3,61.9,150.6
146.354,715.5,61.9,156.0
146.405,723.6,61.9,161.4
146.459,739.8,45.7,164.1
146.508,742.4,8.1,164.1
146.549,750.5,16.1,164.1
146.609,758.6,16.1,164.1
146.672,747.8,18.8,169.5
146.704,745.1,24.2,177.5
146.75,750.5,43.0,177.5
146.8,764.0,45.7,180.2
146.854,718.2,48.4,185.6
146.898,742.4,67.2,191.0
146.944,742.4,72.6,193.7
147.003,723.6,78.0,193.7
147.046,704.8,78.0,196.4
147.097,707.5,83.4,196.4
147.145,737.1,91.5,196.4
147.197,764.0,80.7,199.1
147.259,766.7,78.0,204.4
147.304,769.3,88.8,207.1
147.376,742.4,86.1,209.8
147.398,718.2,78.0,209.8
147.456,718.2,78.0,209.8
147.527,723.6,88.8,209.8
147.573,755.9,91.5,209.8
147.613,790.9,86.1,209.8
147.651,755.9,83.4,209.8
147.699,785.5,78.0,209.8
147.745,790.9,72.6,209.8
147.801,720.9,48.4,209.8
147.847,804.3,67.2,209.8
147.894,930.7,59.2,207.1
147.951,815.1,5.4,201.8
148.0,817.8,0.0,188.3
148.052,833.9,5.4,185.6
148.101,842.0,2.7,182.9
148.154,842.0,2.7,172.2
148.2,823.1,2.7,158.7
148.246,785.5,0.0,134.5
148.301,648.3,0.0,113.0
148.352,376.6,0.0,110.3
148.404,258.2,8.1,107.6
148.493,217.9,0.0,91.5
148.504,134.5,0.0,56.5
148.575,83.4,8.1,21.5
148.611,107.6,8.1,61.9
148.676,129.1,10.8,69.9
148.708,88.8,0.0,75.3
148.773,72.6,0.0,80.7
148.806,83.4,10.8,86.1
148.866,91.5,16.1,88.8
148.921,53.8,21.5,91.5
148.968,29.6,32.3,110.3
149.015,10.8,51.1,115.7
149.062,5.4,56.5,121.1
149.108,5.4,91.5,121.1
149.157,0.0,69.9,99.5
149.205,0.0,56.5,72.6
149.253,0.0,51.1,72.6
149.304,0.0,56.5,67.2
149.357,10.8,48.4,67.2
149.418,5.4,48.4,69.9
149.457,8.1,59.2,75.3
149.52,0.0,69.9,80.7
149.575,48.4,69.9,72.6
149.608,78.0,59.2,94.2
149.661,45.7,56.5,69.9
149.708,2.7,56.5,32.3
149.756,0.0,56.5,69.9
149.815,0.0,56.5,110.3
149.856,2.7,56.5,61.9
149.909,5.4,59.2,24.2
149.958,0.0,56.5,18.8
150.011,0.0,69.9,75.3
150.059,107.6,94.2,78.0
150.113,145.3,26.9,35.0
150.156,53.8,83.4,29.6
150.21,0.0,118.4,40.4
150.259,0.0,126.4,16.1
150.303,21.5,147.9,67.2
150.358,69.9,123.7,43.0
150.409,64.6,131.8,10.8
150.46,32.3,110.3,8.1
150.51,29.6,113.0,13.5
150.563,59.2,113.0,21.5
150.615,78.0,99.5,18.8
150.663,43.0,59.2,59.2
150.727,48.4,32.3,53.8
150.757,75.3,37.7,43.0
150.805,83.4,24.2,8.1
150.857,78.0,26.9,61.9
150.912,78.0,18.8,69.9
150.955,67.2,35.0,83.4
