time_s,shoulder,elbow,waist
164.008,0.0,5.4,29.6
164.103,0.0,2.7,29.6
164.203,2.7,2.7,29.6
164.303,0.0,2.7,29.6
164.408,0.0,2.7,29.6
164.507,0.0,2.7,29.6
164.612,0.0,2.7,29.6
164.705,0.0,2.7,29.6
164.801,0.0,2.7,29.6
164.902,2.7,0.0,29.6
165.012,2.7,2.7,29.6
165.099,0.0,2.7,29.6
165.204,0.0,2.7,29.6
165.304,0.0,2.7,29.6
165.402,2.7,2.7,29.6
165.505,0.0,2.7,29.6
165.602,0.0,2.7,29.6
165.7,0.0,2.7,29.6
165.802,0.0,2.7,29.6
165.903,0.0,2.7,29.6
166.007,0.0,2.7,29.6
166.111,0.0,0.0,29.6
166.205,0.0,2.7,29.6
166.301,0.0,2.7,29.6
166.404,0.0,2.7,29.6
166.501,0.0,2.7,29.6
166.604,0.0,2.7,29.6
166.736,0.0,2.7,29.6
166.801,0.0,2.7,29.6
166.907,0.0,2.7,29.6
167.001,0.0,2.7,29.6
167.112,0.0,2.7,29.6
167.203,2.7,2.7,29.6
167.301,0.0,2.7,29.6
167.407,0.0,2.7,29.6
167.505,0.0,2.7,29.6
167.599,0.0,2.7,29.6
167.708,0.0,2.7,29.6
167.806,0.0,2.7,29.6
167.91,0.0,2.7,29.6
168.003,0.0,0.0,29.6
168.099,0.0,2.7,29.6
168.203,0.0,5.4,29.6
168.3,0.0,2.7,29.6
168.405,0.0,0.0,29.6
168.511,0.0,0.0,29.6
168.599,0.0,2.7,29.6
168.701,0.0,2.7,29.6
168.806,0.0,2.7,29.6
168.9,0.0,2.7,29.6
169.001,0.0,2.7,29.6
169.101,0.0,2.7,29.6
169.2,0.0,2.7,29.6
169.307,0.0,2.7,29.6
169.404,0.0,2.7,29.6
169.501,0.0,2.7,29.6
169.605,0.0,5.4,29.6
169.702,0.0,2.7,29.6
169.801,0.0,2.7,29.6
169.902,0.0,2.7,29.6
170.0,0.0,2.7,29.6
170.117,0.0,2.7,29.6
170.2,0.0,2.7,29.6
170.305,0.0,2.7,29.6
170.404,0.0,2.7,29.6
170.501,0.0,2.7,29.6
170.617,0.0,2.7,29.6
170.701,2.7,2.7,29.6
170.803,0.0,0.0,29.6
170.902,0.0,2.7,29.6
171.006,0.0,0.0,29.6
171.105,0.0,2.7,29.6
171.205,0.0,2.7,29.6
171.305,0.0,2.7,29.6
171.41,0.0,2.7,29.6
171.5,0.0,2.7,29.6
171.602,0.0,0.0,29.6
171.702,0.0,2.7,29.6
171.815,0.0,2.7,29.6
171.903,0.0,2.7,29.6
172.006,0.0,2.7,29.6
172.104,0.0,2.7,29.6
172.199,0.0,2.7,29.6
172.308,0.0,2.7,29.6
172.41,0.0,2.7,29.6
172.51,0.0,2.7,29.6
172.601,0.0,0.0,29.6
172.715,0.0,2.7,29.6
172.81,0.0,2.7,29.6
172.917,0.0,2.7,29.6
173.006,0.0,2.7,29.6
173.103,0.0,2.7,29.6
173.201,0.0,2.7,29.6
173.317,0.0,2.7,29.6
173.401,0.0,2.7,29.6
173.503,0.0,2.7,29.6
173.602,0.0,2.7,29.6
173.703,0.0,0.0,29.6
173.813,0.0,2.7,29.6
173.925,0.0,2.7,29.6
174.015,0.0,2.7,29.6
174.111,0.0,2.7,29.6
174.205,0.0,0.0,29.6
174.305,0.0,0.0,29.6
174.406,0.0,2.7,29.6
174.513,0.0,2.7,29.6
174.605,0.0,2.7,29.6
174.7,0.0,2.7,29.6
174.802,0.0,2.7,29.6
174.902,0.0,2.7,29.6
175.012,0.0,2.7,29.6
175.099,0.0,2.7,29.6
175.209,0.0,2.7,29.6
175.302,0.0,2.7,29.6
175.414,0.0,2.7,29.6
175.536,0.0,0.0,29.6
175.611,0.0,2.7,29.6
175.72,0.0,2.7,29.6
175.826,0.0,2.7,29.6
175.92,0.0,2.7,29.6
176.021,0.0,2.7,29.6
176.112,0.0,2.7,29.6
176.229,0.0,2.7,29.6
176.327,0.0,2.7,29.6
176.411,0.0,2.7,29.6
176.514,0.0,2.7,29.6
176.622,0.0,0.0,29.6
176.709,0.0,2.7,29.6
176.832,0.0,2.7,29.6
176.91,0.0,2.7,29.6
177.022,0.0,2.7,29.6
177.113,2.7,2.7,29.6
177.225,0.0,2.7,29.6
177.383,0.0,0.0,29.6
177.527,0.0,2.7,29.6
177.74,0.0,0.0,29.6
177.839,0.0,2.7,29.6
177.943,0.0,2.7,32.3
178.037,2.7,0.0,29.6
178.062,0.0,2.7,29.6
178.195,0.0,0.0,29.6
178.37,0.0,2.7,29.6
178.538,0.0,2.7,29.6
178.757,0.0,2.7,29.6
178.834,0.0,0.0,35.0
178.898,0.0,2.7,29.6
178.981,0.0,2.7,29.6
179.072,0.0,2.7,29.6
179.182,0.0,2.7,29.6
179.282,0.0,0.0,29.6
179.421,5.4,2.7,29.6
179.552,0.0,2.7,29.6
179.668,0.0,2.7,29.6
179.73,0.0,2.7,29.6
179.821,0.0,2.7,29.6
179.972,0.0,0.0,18.8
180.126,0.0,2.7,13.5
180.315,0.0,2.7,16.1
180.421,2.7,2.7,26.9
180.491,0.0,2.7,26.9
180.536,2.7,2.7,29.6
180.683,0.0,0.0,29.6
180.772,2.7,2.7,29.6
180.842,0.0,2.7,29.6
180.932,0.0,2.7,29.6
181.037,0.0,0.0,29.6
181.131,0.0,2.7,29.6
181.241,0.0,2.7,29.6
181.333,0.0,0.0,29.6
181.429,0.0,2.7,29.6
181.544,0.0,2.7,29.6
181.631,0.0,2.7,29.6
181.735,0.0,2.7,29.6
181.833,0.0,2.7,29.6
181.929,2.7,2.7,29.6
182.043,0.0,2.7,29.6
182.141,0.0,0.0,29.6
182.292,0.0,2.7,29.6
182.338,0.0,2.7,29.6
182.429,0.0,2.7,29.6
182.533,0.0,2.7,29.6
182.654,0.0,2.7,29.6
182.732,0.0,0.0,29.6
182.831,0.0,0.0,29.6
182.937,0.0,2.7,29.6
183.031,0.0,2.7,29.6
183.139,0.0,0.0,29.6
183.244,0.0,2.7,29.6
183.331,0.0,2.7,29.6
183.438,2.7,2.7,29.6
183.535,0.0,2.7,29.6
183.639,0.0,2.7,29.6
183.745,0.0,2.7,29.6
183.834,0.0,2.7,29.6
183.935,0.0,2.7,29.6
