time_s,shoulder,elbow,waist
164.007,0.0,5.4,59.2
164.098,0.0,5.4,59.2
164.198,0.0,5.4,59.2
164.303,0.0,5.4,59.2
164.4,0.0,5.4,59.2
164.498,0.0,5.4,59.2
164.61,0.0,5.4,59.2
164.698,0.0,5.4,59.2
164.799,0.0,5.4,59.2
164.895,0.0,5.4,59.2
165.006,0.0,5.4,59.2
165.102,0.0,5.4,59.2
165.206,0.0,5.4,59.2
165.304,0.0,5.4,59.2
165.399,0.0,5.4,59.2
165.497,0.0,5.4,59.2
165.596,0.0,5.4,59.2
165.697,0.0,5.4,59.2
165.803,0.0,5.4,59.2
165.903,0.0,5.4,59.2
165.999,0.0,5.4,59.2
166.099,0.0,5.4,59.2
166.198,0.0,5.4,59.2
166.296,0.0,5.4,59.2
166.395,0.0,5.4,59.2
166.5,0.0,5.4,59.2
166.598,0.0,5.4,59.2
166.697,0.0,5.4,59.2
166.802,0.0,5.4,59.2
166.899,0.0,5.4,59.2
167.004,0.0,5.4,59.2
167.112,0.0,5.4,59.2
167.202,0.0,5.4,59.2
167.294,0.0,5.4,59.2
167.395,0.0,5.4,59.2
167.495,0.0,5.4,59.2
167.599,0.0,5.4,59.2
167.702,0.0,5.4,59.2
167.797,0.0,5.4,59.2
167.897,0.0,5.4,59.2
167.999,0.0,5.4,59.2
168.095,0.0,5.4,59.2
168.201,0.0,5.4,59.2
168.298,0.0,5.4,59.2
168.402,0.0,5.4,59.2
168.496,0.0,5.4,59.2
168.599,0.0,5.4,59.2
168.697,0.0,5.4,59.2
168.8,0.0,5.4,59.2
168.909,0.0,5.4,59.2
169.037,0.0,5.4,59.2
169.098,0.0,5.4,59.2
169.194,0.0,5.4,59.2
169.295,0.0,5.4,59.2
169.399,0.0,5.4,59.2
169.495,0.0,5.4,59.2
169.626,0.0,5.4,59.2
169.705,0.0,5.4,59.2
169.8,0.0,5.4,59.2
169.9,0.0,5.4,59.2
170.007,0.0,5.4,59.2
170.099,0.0,5.4,59.2
170.196,0.0,5.4,59.2
170.302,0.0,5.4,59.2
170.405,0.0,5.4,59.2
170.497,0.0,5.4,59.2
170.6,0.0,5.4,59.2
170.695,0.0,5.4,59.2
170.804,0.0,5.4,59.2
170.894,0.0,5.4,59.2
170.996,0.0,5.4,59.2
171.095,0.0,5.4,59.2
171.206,0.0,5.4,59.2
171.298,0.0,5.4,59.2
171.396,0.0,5.4,59.2
171.502,0.0,5.4,59.2
171.602,0.0,5.4,59.2
171.7,0.0,5.4,59.2
171.795,0.0,5.4,59.2
171.898,0.0,5.4,59.2
171.999,0.0,5.4,59.2
172.1,0.0,5.4,59.2
172.199,0.0,5.4,59.2
172.296,0.0,5.4,59.2
172.4,0.0,5.4,59.2
172.504,0.0,5.4,59.2
172.603,0.0,5.4,59.2
172.702,0.0,5.4,59.2
172.799,0.0,5.4,59.2
172.9,0.0,5.4,59.2
172.999,0.0,5.4,59.2
