time_s,shoulder,elbow,waist
108.003,309.4,123.7,61.9
108.102,293.2,118.4,69.9
108.202,309.4,115.7,80.7
108.3,328.2,113.0,78.0
108.403,312.0,121.1,78.0
108.524,274.4,118.4,78.0
108.603,279.8,110.3,83.4
108.699,290.5,83.4,78.0
108.81,347.0,94.2,78.0
108.903,521.9,88.8,78.0
109.011,338.9,96.8,78.0
109.114,228.7,115.7,56.5
109.214,239.4,110.3,32.3
109.331,392.7,236.7,99.5
109.42,320.1,247.5,121.1
109.511,287.8,231.3,59.2
109.612,336.2,180.2,40.4
109.711,460.0,96.8,51.1
109.829,379.3,126.4,78.0
109.935,338.9,150.6,72.6
110.027,392.7,137.2,56.5
110.141,408.9,69.9,59.2
110.222,441.2,78.0,61.9
110.324,430.4,104.9,61.9
110.427,433.1,102.2,61.9
110.541,438.5,104.9,61.9
110.628,433.1,104.9,61.9
110.72,435.8,102.2,61.9
110.83,435.8,104.9,61.9
110.918,438.5,102.2,61.9
111.021,435.8,102.2,61.9
111.12,435.8,102.2,61.9
111.218,435.8,67.2,61.9
111.321,430.4,64.6,61.9
111.435,438.5,59.2,61.9
111.524,435.8,61.9,61.9
111.624,430.4,69.9,61.9
111.738,435.8,61.9,61.9
111.826,435.8,83.4,61.9
111.923,433.1,67.2,61.9
112.03,430.4,72.6,61.9
112.126,438.5,67.2,61.9
112.234,433.1,78.0,61.9
112.319,427.7,80.7,61.9
112.423,433.1,86.1,61.9
112.527,433.1,83.4,61.9
112.628,435.8,86.1,61.9
112.721,435.8,86.1,61.9
112.831,433.1,86.1,61.9
112.927,430.4,80.7,61.9
113.02,430.4,83.4,61.9
113.122,435.8,83.4,61.9
113.226,430.4,78.0,61.9
113.322,430.4,80.7,61.9
113.426,435.8,83.4,61.9
113.523,435.8,78.0,61.9
113.622,433.1,83.4,61.9
113.721,433.1,83.4,61.9
113.826,435.8,78.0,61.9
113.919,433.1,83.4,61.9
114.031,427.7,88.8,61.9
114.122,430.4,83.4,61.9
114.231,427.7,88.8,61.9
114.319,433.1,86.1,61.9
114.423,433.1,88.8,61.9
114.53,425.0,83.4,61.9
114.621,425.0,86.1,61.9
114.724,435.8,88.8,61.9
114.83,427.7,78.0,61.9
114.922,427.7,80.7,61.9
115.029,435.8,78.0,61.9
115.123,430.4,78.0,61.9
115.223,427.7,78.0,61.9
115.33,433.1,83.4,61.9
115.42,430.4,88.8,61.9
115.522,427.7,83.4,61.9
115.625,425.0,80.7,61.9
115.729,433.1,83.4,61.9
115.839,430.4,83.4,61.9
115.924,427.7,78.0,61.9
116.02,430.4,83.4,61.9
116.123,425.0,88.8,61.9
116.221,427.7,83.4,61.9
116.339,427.7,78.0,61.9
116.419,430.4,94.2,61.9
116.521,425.0,80.7,61.9
116.624,430.4,80.7,61.9
116.723,425.0,86.1,61.9
116.822,425.0,86.1,61.9
116.92,430.4,80.7,61.9
117.075,427.7,83.4,61.9
117.131,425.0,83.4,61.9
117.223,427.7,80.7,61.9
117.32,425.0,86.1,61.9
117.419,433.1,83.4,61.9
117.528,425.0,78.0,61.9
117.624,427.7,78.0,61.9
117.72,430.4,80.7,61.9
117.823,433.1,83.4,61.9
117.919,430.4,83.4,61.9
118.027,430.4,80.7,61.9
118.118,430.4,83.4,61.9
118.231,433.1,78.0,61.9
118.323,422.3,83.4,61.9
118.431,425.0,86.1,61.9
118.524,430.4,78.0,61.9
118.624,427.7,80.7,61.9
118.724,427.7,83.4,61.9
118.829,430.4,78.0,61.9
118.948,433.1,83.4,61.9
119.024,430.4,83.4,61.9
119.127,427.7,86.1,61.9
119.219,430.4,83.4,61.9
119.322,427.7,91.5,61.9
119.421,427.7,83.4,61.9
119.52,425.0,80.7,61.9
119.621,427.7,83.4,61.9
119.718,427.7,80.7,61.9
119.822,422.3,80.7,61.9
119.927,408.9,80.7,61.9
120.025,414.3,88.8,61.9
120.129,411.6,80.7,61.9
120.221,414.3,94.2,72.6
120.338,422.3,91.5,75.3
120.426,430.4,78.0,75.3
120.521,417.0,80.7,75.3
120.619,411.6,83.4,75.3
120.722,408.9,83.4,75.3
120.82,414.3,102.2,75.3
120.921,411.6,107.6,75.3
121.037,414.3,102.2,75.3
121.131,414.3,102.2,75.3
121.221,406.2,104.9,75.3
121.321,406.2,102.2,75.3
121.449,411.6,104.9,75.3
121.534,411.6,104.9,75.3
121.633,414.3,102.2,83.4
121.727,414.3,104.9,78.0
121.828,411.6,104.9,78.0
121.92,411.6,104.9,78.0
122.021,414.3,104.9,78.0
122.125,414.3,104.9,78.0
122.223,408.9,104.9,78.0
122.321,411.6,102.2,78.0
122.423,411.6,104.9,78.0
122.522,414.3,110.3,78.0
122.621,408.9,104.9,78.0
122.758,411.6,102.2,78.0
122.848,417.0,104.9,78.0
122.948,414.3,104.9,78.0
123.029,408.9,104.9,78.0
123.14,411.6,104.9,78.0
123.223,411.6,104.9,78.0
123.324,411.6,102.2,78.0
123.42,408.9,102.2,78.0
123.532,408.9,104.9,78.0
123.622,411.6,107.6,78.0
123.73,408.9,104.9,78.0
123.822,406.2,104.9,78.0
123.949,408.9,102.2,78.0
124.18,414.3,107.6,78.0
124.249,411.6,104.9,78.0
124.317,414.3,104.9,78.0
124.412,408.9,104.9,78.0
124.512,414.3,102.2,78.0
124.607,411.6,102.2,78.0
124.702,406.2,102.2,78.0
124.779,408.9,102.2,78.0
124.883,408.9,102.2,78.0
125.081,406.2,102.2,78.0
125.157,408.9,104.9,78.0
125.246,408.9,107.6,78.0
125.305,408.9,107.6,78.0
125.393,411.6,104.9,78.0
125.5,408.9,104.9,78.0
125.59,408.9,104.9,78.0
125.699,411.6,102.2,78.0
125.811,411.6,102.2,78.0
125.935,414.3,104.9,78.0
126.022,411.6,102.2,78.0
126.211,408.9,102.2,78.0
126.288,411.6,102.2,78.0
126.356,414.3,104.9,78.0
126.429,411.6,102.2,78.0
